Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59947696,Wrong Place Wrong Time,Gillian McAllister,"McAllister, Gillian",,"=""0063252341""","=""9780063252349""",0,4.02,William Morrow,Hardcover,416,2022,2022,,2022/12/11,"to-read, fiction","to-read (#95), fiction (#185)",to-read,,,,0,0
50884412,The Turn of the Screw (Alma Classics Evergreens),Henry James,"James, Henry",,"=""1847498299""","=""9781847498298""",0,3.39,Alma Classics,Paperback,176,2021,1898,,2022/12/06,"to-read, fiction","to-read (#93), fiction (#183)",to-read,,,,0,0
9477628,Jerusalem: The Biography,Simon Sebag Montefiore,"Montefiore, Simon Sebag",,"=""0297852655""","=""9780297852650""",0,4.06,Weidenfeld & Nicolson,Hardcover,752,2011,2011,,2023/02/07,"to-read, non-fiction","to-read (#116), non-fiction (#50)",to-read,,,,0,0
36107317,Mystery and Manners: Occasional Prose,Flannery O'Connor,"O'Connor, Flannery",,"=""""","=""""",0,4.28,Farrar Straus and Giroux,,237,1969,1969,,2023/01/27,"to-read, non-fiction","to-read (#113), non-fiction (#49)",to-read,,,,0,0
58887230,Metropolis. O istorie a celei mai mari invenții a omenirii,Ben    Wilson,"Wilson, Ben",,"=""6064010061""","=""9786064010063""",0,4.15,Editura Trei,Paperback,496,2021,2020,,2023/01/12,"to-read, non-fiction","to-read (#108), non-fiction (#46)",to-read,,,,0,0
36604061,Biblia după textul ebraic: Geneza,Francisca Băltăceanu,"Băltăceanu, Francisca",Monica Brosteanu,"=""9735058715""","=""9789735058715""",0,4.95,Humanitas,Hardcover,380,2017,2017,,2023/01/12,"to-read, non-fiction","to-read (#109), non-fiction (#47)",to-read,,,,0,0
64407140,Mitologie. Povești nemuritoare despre zei și eroi,Edith Hamilton,"Hamilton, Edith","Török József Sándor, Jim Tierney","=""""","=""9786065876071""",0,4.03,Editura All,Paperback,384,2022,1942,,2023/01/12,"to-read, non-fiction","to-read (#110), non-fiction (#48)",to-read,,,,0,0
57760799,Marele roman al matematicii. Din preistorie in zilele noastre,Mickaël Launay,"Launay, Mickaël",,"=""6064006250""","=""9786064006257""",0,4.06,Editura Trei,Paperback,304,2021,2016,,2023/01/12,"to-read, non-fiction","to-read (#107), non-fiction (#45)",to-read,,,,0,0
51132522,Forgotten Work,Jason Guriel,"Guriel, Jason",,"=""1771963824""","=""9781771963824""",0,3.90,Biblioasis,Paperback,217,2020,,,2023/02/02,"dnf, to-read, poetry","dnf (#3), to-read (#130), poetry (#20)",to-read,,,,0,0
75457858,Feed the Beast,Pádraig Ó Tuama,"Tuama, Pádraig Ó",,"=""1915079527""","=""9781915079527""",0,4.76,Broken Sleep Books,Paperback,54,2022,,,2023/01/22,"to-read, poetry","to-read (#111), poetry (#17)",to-read,,,,0,0
48753648,Good Grief,Mikey Swanberg,"Swanberg, Mikey",,"=""1733848355""","=""9781733848350""",0,4.45,Vegetarian Alcoholic Press,Paperback,60,2019,,,2022/11/24,"to-read, poetry","to-read (#92), poetry (#16)",to-read,,,,0,0
59776049,Bower Lodge: Poems,Paul J. Pastor,"Pastor, Paul J.",,"=""1594980748""","=""9781594980749""",0,4.41,Fern wood Press,Paperback,155,2021,,,2023/01/22,"to-read, poetry","to-read (#112), poetry (#18)",to-read,,,,0,0
